id,title,release_date,budget,revenue,budget_clean,revenue_clean,release_date_clean,release_year,release_month,budget_missing_flag,revenue_missing_flag,suspicious_flag,financial_status
31357,Waiting to Exhale,12/22/1995,0,81452156.0,,81452156.0,1995-12-22,1995.0,12.0,True,False,True,Revenue Only
11862,Father of the Bride Part II,1995-02-10,0,76578911.0,,76578911.0,1995-02-10,1995.0,2.0,True,False,True,Revenue Only
710,GoldenEye,1995-11-16,0,352194034.0,,352194034.0,1995-11-16,1995.0,11.0,True,False,True,Revenue Only
21032,Balto,22-12-1995,0,11348324.0,,11348324.0,1995-12-22,1995.0,12.0,True,False,True,Revenue Only
524,Casino,1995-11-22,,116112375.0,,116112375.0,1995-11-22,1995.0,11.0,True,False,True,Revenue Only
9691,Assassins,10/06/1995,0,30303072.0,,30303072.0,1995-10-06,1995.0,10.0,True,False,True,Revenue Only
9263,Now and Then,20-10-1995,0,27400000.0,,27400000.0,1995-10-20,1995.0,10.0,True,False,True,Revenue Only
9909,Dangerous Minds,11-08-1995,0,180000000.0,,180000000.0,1995-11-08,1995.0,11.0,True,False,True,Revenue Only
63,Twelve Monkeys,12/29/1995,,168840000.0,,168840000.0,1995-12-29,1995.0,12.0,True,False,True,Revenue Only
687,Dead Man Walking,12/29/1995,0,39363635.0,,39363635.0,1995-12-29,1995.0,12.0,True,False,True,Revenue Only
34615,"Cry, the Beloved Country",15-12-1995,0,676525.0,,676525.0,1995-12-15,1995.0,12.0,True,False,True,Revenue Only
9089,Home for the Holidays,1995-11-02,0,17519169.0,,17519169.0,1995-11-02,1995.0,11.0,True,False,True,Revenue Only
2054,Mr. Holland's Opus,12/29/1995,0,106269971.0,,106269971.0,1995-12-29,1995.0,12.0,True,False,True,Revenue Only
11525,Lawnmower Man 2: Beyond Cyberspace,01/12/1996,,2409225.0,,2409225.0,1996-01-12,1996.0,1.0,True,False,True,Revenue Only
28387,Kicking and Screaming,06-10-1995,0,718490.0,,718490.0,1995-06-10,1995.0,6.0,True,False,True,Revenue Only
20927,Bed of Roses,1996-01-26,0,19030691.0,,19030691.0,1996-01-26,1996.0,1.0,True,False,True,Revenue Only
36929,Big Bully,01/26/1996,,2042530.0,,2042530.0,1996-01-26,1996.0,1.0,True,False,True,Revenue Only
13997,Black Sheep,01-02-1996,0,32.0,,32.0,1996-01-02,1996.0,1.0,True,False,True,Revenue Only
12158,Vampire in Brooklyn,26-10-1995,,19800000.0,,19800000.0,1995-10-26,1995.0,10.0,True,False,True,Revenue Only
13685,Bottle Rocket,21-02-1996,,560069.0,,560069.0,1996-02-21,1996.0,2.0,True,False,True,Revenue Only
10874,Muppet Treasure Island,02/16/1996,0,34327391.0,,34327391.0,1996-02-16,1996.0,2.0,True,False,True,Revenue Only
33542,Rumble in the Bronx,1995-01-30,,32392047.0,,32392047.0,1995-01-30,1995.0,1.0,True,False,True,Revenue Only
